site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,duplicate_of,status,similar_names
Leang Sarru,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,4,"Ono. The isolated location of the Talaud Islands, more than 100 km from any adjacent islands, was also the case during Pleistocene times, even though the Talauds boast the oldest archaeological site in the Sulawesi Sea—Leang Sarru (see Figure 15.2). The original excavation of Leang Sarru by Tanudirjo (2001, 2005) and our re-excavation (Ono and Soegondho 2004; Ono et al. 2009, 2015) found a large number of flaked stone artefacts, mainly chert, alo",Leang Sarru,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,5,"246 The Archaeology of Sulawesi terra australis 48 with some flaked stone but no pottery dating back to around 5500 years ago. It is unclear whether the pre-pottery layer represents habitation by descendants of the Leang Sarru occupants or other immigrants to the Talauds. However, Leang T uwo Mane’e had possibly been used continually from Neolithic to recent times at around AD 1700,1 considering also the current village located next to the si",Leang Sarru,duplicate,
Leang Buidane,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,5,"ese trade ceramics and Rarangunusa-style pottery, which Bellwood (1976) dates to the 2nd millennium AD. All other archaeological sites in the Talauds are post-Neolithic and date entirely to the centuries AD. Among them, Leang Buidane on Salibabu Island is a secondary burial cave site with a large number of human bones, burial jars, bronze and iron fragments, and accessories including glass, shell and various carnelian and other stone beads. Based on",Leang Buidane,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,5,"ese trade ceramics and Rarangunusa-style pottery, which Bellwood (1976) dates to the 2nd millennium AD. All other archaeological sites in the Talauds are post-Neolithic and date entirely to the centuries AD. Among them, Leang Buidane on Salibabu Island is a secondary burial cave site with a large number of human bones, burial jars, bronze and iron fragments, and accessories including glass, shell and various carnelian and other stone beads. Based",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,6,"15. Development of marine and terrestrial resource use in the Talaud Islands AD 1000–1800 247 terra australis 48 Figure 15.3: Leang Buida (A) and the excavated area in 2005 (B). Note the contour breaks in A at places where the rocky cliffs of the coastline drops precipitously into the sea. Source: Jennifer Sheehan, CartoGIS, College of Asia and the Pacifi",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,7,"ears older than the AMS dates on charcoal from the same layer, apparently reflecting marine reservoir effects, hence we here refer to the AMS dates from charcoal samples. Thus, in terms of cultural layers and AMS dates, Leang Buida registers two occupation phases respectively dated to around AD 1600 (Layer 2) and AD 1000 (Layer 3). It should be added, however, that there may also have been earlier habitation at the site, which has not been preserv",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,8,"sinkers Shells Animal bones Canarium nuts E1S 46 1317 0 30 0 4 0 0 2720 512 7 F1 108 1397 0 9 1 11 2 1 2573 841 36 Total 409 8100 2 297 2 37 14 5 21,487 2887 176 Source: The authors. Most of the decorated potsherds from Leang Buida can be classified with the Rarangunusa type. Rarangunusa pottery mainly comprises restricted vessels with everted rims, globular or carinated bodies and round bases (Tanudirjo 2001). Rims are generally rounded and taper",Leang Buida,duplicate,
Leang Buidane,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,8,"ated motifs. For example, one of the decorated lip sherds from Layer 3 (Figure 15.4B) has a horizontal translation of paired zigzags on its inner lip, more simplified than the horizontal triangular mazes illustrated for Leang Buidane (Bellwood 1976:Figure 11) but different in orientation from the vertical translation of paired zigzags typical of Rarangunusa decorations (Bellwood 1976: Plate IIc). Considering also the excavation results at Liang Aran",Leang Buidane,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,9,"e might have survived until as recently as the mid-20th century. While not disagreeing with this proposal, we add the possibility that the designs may have become more simple and functional over time. Fishing tools from Leang Buida One class of special finds from Leang Buida involves variably sized clay tools with two punched holes, which are probably fishnet sinkers (n=5). They can be classified into two main types: the rounded type (n=2; Figure",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,12,1466–1639 Wk-15741 Charcoal 3 TP3/Spit 6 371±31 1446–1634 TERRA-070407a24 Charcoal 2 TP2/Spit 4 294±33 1489–1661 (a) 95% calibrated range from Intcal13 (Bronk Ramsey 2016). Source: Rintaro Ono. Our Carbon-14 dates from Leang Buida and Bukit Tiwing clearly show that marine shell dates carry a marine reservoir effect that usually makes these dates appear hundreds of years older than their counterpart dates on charcoal (e.g. Nakamura 2003; Yoneda et,Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,13,"0 BC (Cameron 2013). Compared with these spindle whorls, the Bukit Tiwing specimen is much younger, but it is so far the first excavated case of a clay spindle whorl in the Sangihe-Talaud Islands. Marine resource use in Leang Buida and Bukit Tiwing Fish and shell remains were excavated from both Leang Buida and Bukit Tiwing. Leang Buida produced the larger Numbers of Individual Specimens (NISP): 21,487 NISP of shell remains (about 50 kg) and 356 N",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,14,15. Development of marine and terrestrial resource use in the Talaud Islands AD 1000–1800 255 terra australis 48 Table 15.5: List of invertebrate remains from Leang Buida (NISP). Taxa/Family L1 L2 L3 Total Taxa/Family L1 L2 L3 Total (Gastropoda) (Bivalvia) Neritidae 2720 4805 1794 9319 Arcidae 0 48 15 63 Turbinidae 608 1729 572 2909 Tridacnidae 16 21 8 45 Cypraenidae 26 193 61 280 Veneri,Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,16,"5 0 0 17 Tridacnidae Tridacna crocea 0 0 0 5 3 0 0 0 8 Hippopus hippopus 0 1 0 0 0 0 0 0 1 Tridacna gigas 0 0 1 0 0 0 0 0 1 Tridacna maxima 0 0 1 0 1 0 0 0 2 0 1 2 5 4 0 0 0 12 Source: Rintaro Ono. Fish exploitation At Leang Buida, 356 NISP of identified fish bones (246 Minimum Number of Individuals (MNI)) were excavated. They were identified into 16 fish families (all marine species) including Scaridae, Serranidae, Labridae, Lethrinidae, Lutjani",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,17,258 The Archaeology of Sulawesi terra australis 48 Table 15.9: Identified fish remains from Leang Buida (MNI). Family Habitation L1 L2 L3 Total 1 2 3 4 5 6 7 8 9 10 11 MNI (Inshore) Serranidae Inshore/bottom 2 11 10 13 10 7 6 5 5 0 1 70 Lutjanidae Inshore/reef 0 3 4 6 4 1 3 4 1 0 0 26 Scaridae Inshore/reef 0 4 0 2 1 3 5 0,Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,18,"2 (2) 8 Scombridae 0 0 4 (1) 0 0 0 0 0 4 (1) 8 Muraenidae 0 0 0 0 1 0 0 0 1 8 Holocentridae 0 0 0 1 0 0 0 0 1 8 Labridae 0 0 0 0 0 1 0 0 1 Total 1 2 21 6 6 3 0 0 39 (25) Source: Rintaro Ono. T errestrial resource use at Leang Buida and Bukit Tiwing Leang Buida produced 409 NISP of mammal, bird and sea turtle remains, and over 80% of them were unearthed from Layers 2 and 3 (Table 15.11). Although the total number and volume of animal remains is lim",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,19,"d Strigocuscus celebensis). The rat tooth is not identified to species level and we are not sure if it represents a wild species or one that arrived with humans in the past. Discussion Based on our excavation results at Leang Buida and Bukit Tiwing in the Talaud Islands, we now discuss the possible development of marine and terrestrial resource use as well as regional maritime networks in the Sulawesi Sea during the 2nd millennium AD. The lower la",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,20,"ments during AD 1100–1500 is unclear, but we can at least compare certain changes between AD 1000 and the interval after AD 1500 in the Talauds. Development of marine and terrestrial use In terms of marine resource use, Leang Buida clearly suggests a heightened dependence on inshore fish species at about AD 1000 in the Talaud Islands. However, it should be noted that angling could have been the most important fishing technique in the Talauds where",Leang Buida,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,21,"262 The Archaeology of Sulawesi terra australis 48 In terms of shellfish exploitation, a greater variety of species were exploited at Leang Buida than Bukit Tiwing, though the status of Neritidae and T urbinidae as the main exploited families is similar at both sites.3 A similar pattern of shellfish use is also found at Leang Sarru on Salibabu Island, dating back",Leang Buida,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,21,"ty of species were exploited at Leang Buida than Bukit Tiwing, though the status of Neritidae and T urbinidae as the main exploited families is similar at both sites.3 A similar pattern of shellfish use is also found at Leang Sarru on Salibabu Island, dating back to 35,000 years ago (Tanudirjo 2005; Ono et al. 2009), indicating that T urbinidae and Neritidae had been the most commonly exploited shells for over 30,000 years up to AD 1800 in the Tal",Leang Sarru,duplicate,
Leang Arandangana,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,22,"might date to after the Song Dynasty, because there are no photographs, drawings or detailed descriptions of these excavated trade ceramics in Bellwood (1976). The only tradewares identified from younger sites including Leang Arandangana (Tanudirjo 2001) and Bukit Tiwing are represented by late Ming to Qing sherds recovered from the upper layers. The numbers of these trade ceramics are much larger than older ceramic types, which might suggest that long-",Leang Arandangana,duplicate,
Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,22,"stance maritime trade networks by around the late 13th or 14th century. Beside the trade ceramics, earthenware pottery motifs and styles can be an indicator of local inter-island interaction. In the Talaud Islands, both Leang Buida and Bukit Tiwing produced Rarangunusa-style potteries after AD 1500, while Leang Buida produced possible prototype Rarangunusa pottery dated to around AD 1000. Leang Arandangana also produced Rarangunusa pottery, possib",Leang Buida,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,25,"and A. Ono (eds), Emergence and Diversity of Modern Human Behavior in Paleolithic Asia, pp. 201–213. College Station: T exas A&M University Press. Ono, R. and S. Soegondho. 2004. A short report for the re-excavation at Leang Sarru site, Talaud Islands. Jejak-Jejak Arkeologi 4:37–50. Ono, R., S. Soegondho and J. Siswanto. 2013. Possible development of regional maritime networks during the 16th to 19th centuries: An excavation report of the Bukit T",Leang Sarru,duplicate,
Leang Sarru Rockshelter,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,25,"e in the Talaud Islands, eastern Indonesia. People and Culture in Oceania 29:1–33. Ono, R., S. Soegondho and M. Yoneda. 2009. Changing marine exploitation during Late Pleistocene in Northern Wallacea: Shell remains from Leang Sarru Rockshelter in Talaud Islands. Asian Perspectives 48(2):318–341. doi.org/10.1353/asi.2009.0002 (accessed 5 June 2018).",Leang Sarru Rockshelter,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,26,"ndonesian Archipelago. Unpublished PhD thesis, School of Archaeology and Anthropology, The Australian National University, Canberra. Tanudirjo, D.A. 2005. Long-continuous or short-occasional occupation? The human use of Leang Sarru rockshelter in the Talaud Islands, northeastern Indonesia. Bulletin of The Indo-Pacific Prehistory Association 25(3):15–19. Watson Andaya, B. 1992. Religious developments in Southeast Asia c. 1500–1800. In N. Tarling (e",Leang Sarru,duplicate,
Liang Kaung,,,,,data/google-drive-pdfs/DiangKaung_DiangBalu_Kalimantan_15000yrrockshelters.pdf,4,"0 788.4 ± 1.0 12,475 ± 40 14,289 e14,992 43227 DBLT3U2-A2 20 Charcoal /C0 31.42 ± 1.0 97.38 ±0.20 /C0 26.2 ± 2.0 215 ± 20 149 e187 44226 DBL-CD-5 Ceiling Charcoal /C0 33.69 ± 1 e 0.9156 ± 0.0021 e 708 ± 23 651 e686 8570 Liang Kaung e Charcoal ee e e 3030 ± 180 2779 e3613b a Fallon, S.J., L.K. Fi ﬁeld, J.M. Chappell, 2010. Calib Radiocarbon Calibration Program (Calib Rev. 7.0.4); Stuiver, M., and Reimer, P.J., 1993, Radiocarbon, 35, 215 e230. b Oxc",Liang Kaung,duplicate,
Gua Sireh,,,,,data/google-drive-pdfs/DiangKaung_DiangBalu_Kalimantan_15000yrrockshelters.pdf,7,"ude a lizard, a stylized dog, anthropomorphs, aroid (lily) leaves, a ‘tree of life’ motif, hornbills, insects, monkeys, pigs, birds and ﬁsh. The anthropomorphic ﬁgures were comparable to those in Batu Cap (Ketapang) and Gua Sireh (Sarawak), whereas the ‘tree of life ’ is paralleled in Batu Cap (Ketapang) and Pangkep (Sulawesi). One striking phenomenon discovered in DKG-3 was a thick layer of ash (layer B) that covered the whole trench. The anima",Gua Sireh,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,86,"merahan emas, kening menonjol, muka pendek lebar, tidak datar, hidung lebar, dan bibir cukup tebal. Populasi Australid termasuk Aborigin Australia dan yang menghuni Asia Tenggara di akhir Plestosen. Sisanya ditemukan di Gua Niah, Kalimantan Malaysia 15 dengan umur sekitar 46.000 tahun yang lalu16 dan di Tabon, Filipina dengan umur sekitar 30.000 tahun yang lalu17 dan umur maksimal terbaru sekitar 47.000 tahun yang lalu 18. Penemuan- penemuan in",Gua Niah,duplicate,
Gua Lawa,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,87,"86 Diaspora Melanesia di Nusantara tengkorak lonjong. Bersama tinggalan-tinggalan sejenis di Asia Tenggara Daratan disebut sebagai Paleomelanesid. Temuan sisa manusia di Gua Lawa, Sampung, Jawa Timur juga menurut Jacob dan Mijsberg mencirikan karakter Melanesid yang dominan dengan beberapa fitur Australid19. Hal yang sama dengan penemuan rangka manusia pada gua-gua di kawasan karst Tuban di pant",Gua Lawa,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,91,"g lalu dari Song Terus dan sekitar 45.000 tahun yang lalu dari Gua Tabuhan, keduanya terletak di wilayah Punung, Jawa Timur31. Dalam konteks Asia Tenggara, penemuan sisa manusia yang kurang lebih kontemporer tercatat di Gua Niah, Sarawak, Malaysia dari sekitar 46.000 tahun yang lalu 32, dan Gua Tabon di Filipina dengan umur maksimal sekitar 47.000 tahun yang lampau 33. Menarik dicatat bahwa masih ada penemuan-penemuan yang lebih tua namun masih",Gua Niah,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,93,"92 Diaspora Melanesia di Nusantara Lemdubu, Aru41. Di luar Indonesia dalam lingkup Asia Tenggara sisa manusia dengan fitur Australid ditemukan di Gua Niah, Kalimantan Utara di Malaysia dan Gua Tabon di Filipina. Penemuan ini mendasari pendapat bahwa MMA penghuni Asia Tenggara Daratan di sekitar akhir Plestosen tergolong Ras Australid 42. Penemuan dengan pertanggalan yang",Gua Niah,duplicate,
Gua Tabon,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,93,"92 Diaspora Melanesia di Nusantara Lemdubu, Aru41. Di luar Indonesia dalam lingkup Asia Tenggara sisa manusia dengan fitur Australid ditemukan di Gua Niah, Kalimantan Utara di Malaysia dan Gua Tabon di Filipina. Penemuan ini mendasari pendapat bahwa MMA penghuni Asia Tenggara Daratan di sekitar akhir Plestosen tergolong Ras Australid 42. Penemuan dengan pertanggalan yang masih perdebatan adalah Homo Wajakensis dari",Gua Tabon,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,94,"93 Diaspora Melanesia di Nusantara lainnya berasal dari Liang Bua di Flores, namun identifikasi taksonominya masih dalam perdebatan antara spesies baru48 dan Homo sapiens49. Jejak-jejak hunian tanpa sisa manusia dari 30 ribuan tahun yang lalu ditemukan di belasan situs, antara lain So",Liang Bua,duplicate,
Gua Braholo,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,94,"un identifikasi taksonominya masih dalam perdebatan antara spesies baru48 dan Homo sapiens49. Jejak-jejak hunian tanpa sisa manusia dari 30 ribuan tahun yang lalu ditemukan di belasan situs, antara lain Song Keplek, dan Gua Braholo di kawasan Gunung Sewu50; Liang Burung 2 dan Leang Sakapao di Maros-Pangkep, Sulawesi Selatan51; Leang Sarru di Kepulauan Talaud 52; Lua Meko di Pulau Rote 53, Gua Golo di Maluku 54, dan Gua Toé di Papua. Gua yang diseb",Gua Braholo,duplicate,
Leang Sakapao,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,94,"a spesies baru48 dan Homo sapiens49. Jejak-jejak hunian tanpa sisa manusia dari 30 ribuan tahun yang lalu ditemukan di belasan situs, antara lain Song Keplek, dan Gua Braholo di kawasan Gunung Sewu50; Liang Burung 2 dan Leang Sakapao di Maros-Pangkep, Sulawesi Selatan51; Leang Sarru di Kepulauan Talaud 52; Lua Meko di Pulau Rote 53, Gua Golo di Maluku 54, dan Gua Toé di Papua. Gua yang disebut terakhir sejauh ini merupakan satu-satunya penemuan jeja",Leang Sakapao,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,94,"ian tanpa sisa manusia dari 30 ribuan tahun yang lalu ditemukan di belasan situs, antara lain Song Keplek, dan Gua Braholo di kawasan Gunung Sewu50; Liang Burung 2 dan Leang Sakapao di Maros-Pangkep, Sulawesi Selatan51; Leang Sarru di Kepulauan Talaud 52; Lua Meko di Pulau Rote 53, Gua Golo di Maluku 54, dan Gua Toé di Papua. Gua yang disebut terakhir sejauh ini merupakan satu-satunya penemuan jejak hunian yang tua (sekitar 26.000 tahun yang lalu)",Leang Sarru,duplicate,
Gua Harimau,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,94,"mbikar tinggalan Neolitik 55. Keseluruhan situs ini menunjukkan sebaran MMA yang luas tidak terbatas dipulau besar tetapi juga di pulau-pulau kecil. Satu-satunya pulau besar yang selama ini dipertanyakan adalah Sumatra, Gua Harimau, salah satu hunian prasejarah dengan temuan puluhan kubur-kubur manusia penghuni gua dan sisa hunian.",Gua Harimau,duplicate,
Gua Harimau,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,95,"94 Diaspora Melanesia di Nusantara tetapi melalui penemuan lapisan hunian yang berumur sekitar 15.000 tahun yang lalu pada penelitian intensif yang sedang berlangsung di Gua Harimau, OKU, Sumatra Selatan, kekosongan data ini mulai terisi56. Situs-situs di atas mestinya belum merepresentasikan jumlah yang sebenarnya, mengingat masih banyak situs yang belum diteliti, sementara yang sudah atau sedang",Gua Harimau,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,95,"presentasikan jumlah yang sebenarnya, mengingat masih banyak situs yang belum diteliti, sementara yang sudah atau sedang diekskavasi masih terbatas pada lapisan hunian Holosen. Menarik dicatat di luar Indonesia terdapat Gua Niah, Gua Tabon dan Gua Callao yang diuraikan di muka, beberapa situs di Melanesia Barat dan belasan situs di Australia57. Berbeda dengan di Indonesia yang umumnya situs gua, di Australia dan Melanesia Barat situs alam terbu",Gua Niah,duplicate,
Gua Tabon,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,95,"kan jumlah yang sebenarnya, mengingat masih banyak situs yang belum diteliti, sementara yang sudah atau sedang diekskavasi masih terbatas pada lapisan hunian Holosen. Menarik dicatat di luar Indonesia terdapat Gua Niah, Gua Tabon dan Gua Callao yang diuraikan di muka, beberapa situs di Melanesia Barat dan belasan situs di Australia57. Berbeda dengan di Indonesia yang umumnya situs gua, di Australia dan Melanesia Barat situs alam terbuka cukup me",Gua Tabon,duplicate,
Gua Callao,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,95,"g sebenarnya, mengingat masih banyak situs yang belum diteliti, sementara yang sudah atau sedang diekskavasi masih terbatas pada lapisan hunian Holosen. Menarik dicatat di luar Indonesia terdapat Gua Niah, Gua Tabon dan Gua Callao yang diuraikan di muka, beberapa situs di Melanesia Barat dan belasan situs di Australia57. Berbeda dengan di Indonesia yang umumnya situs gua, di Australia dan Melanesia Barat situs alam terbuka cukup menonjol. Beberap",Gua Callao,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,96,"jadi hewan-hewan buruan. Kemungkinan jenis gajah (elephantidae) dan badak ( Rhinoceritidae) juga termasuk di antaranya, seperti tampak pada tulang-tulangnya yang ditemukan di lokasi hunian bersama sisa hewan lainnya. Di Gua Niah, Kalimantan Utara Malaysia agak berbeda, babi hutan (Sus barbatus) dan binatang pengerat merupakan hewan buruan yang menonjol pada hunian awal, tetapi beralih ke kera pada hunian yang lebih kemudian. Pangolin (Manis pal",Gua Niah,duplicate,
Gua Golo,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,96,"lebih kemudian. Pangolin (Manis palaeojavanica), tapir, orang utan, rusa, dan kerbau ( bovidae ) merupakan hewan buruan pada hunian akhir Plestosen 60. Bagi penghuni pesisir ada kecenderungan mengandalkan biota laut. Di Gua Golo, Pulau Gebe (Maluku Utara) misalnya, selain kerang-kerangan yang ditemukan di sepanjang lapisan hunian, hewan darat tidak ditemukan kecuali di lapisan Holosen berupa wallaby dan kuskus 61. Hal yang menarik dijumpai di L",Gua Golo,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,96,"o, Pulau Gebe (Maluku Utara) misalnya, selain kerang-kerangan yang ditemukan di sepanjang lapisan hunian, hewan darat tidak ditemukan kecuali di lapisan Holosen berupa wallaby dan kuskus 61. Hal yang menarik dijumpai di Leang Sarru (Kepulauan Talaud) yang pada penelitian tidak menemukan sisa hewan darat ataupun ikan, selain kerang-kerangan62. MMA membuat peralatan dengan memanfaatkan batuan yang tersedia di lingkungan setempat. Umumnya berupa alat",Leang Sarru,duplicate,
Gua Braholo,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,97,"n kalsedon termasuk yang digunakan sepanjang tersedia di lingkungan sekitar. Ketiadaan batu kersikan sering menjadikan penghuni gua memanfaatkan batuan yang tersedia di lingkungan sekitar. Contoh seperti ini dijumpai di Gua Braholo, Gunung Kidul yang menggunakan batu gamping yang tersedia karena batu kersikan yang sulit didapat 64. Di Gua Golo, Maluku alat-alat dibuat dari batuan vulkanik dan metamorfik yang tersedia di wilayah selatan Pulau Gebe6",Gua Braholo,duplicate,
Gua Golo,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,97,"n penghuni gua memanfaatkan batuan yang tersedia di lingkungan sekitar. Contoh seperti ini dijumpai di Gua Braholo, Gunung Kidul yang menggunakan batu gamping yang tersedia karena batu kersikan yang sulit didapat 64. Di Gua Golo, Maluku alat-alat dibuat dari batuan vulkanik dan metamorfik yang tersedia di wilayah selatan Pulau Gebe65. Pemanfatan bahan organik seperti tulang dan cangkang untuk alat sudah mulai ada walaupun masih jarang dan seder",Gua Golo,duplicate,
Gua Golo,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,98,"al d’Histoire Naturelle, Prancis) tanpa teknik standar66. Di Song Terus terdapat alat-alat lancipan sederhana yang dibuat dari fibula cercopithecoid (jenis kera) dan dari tulang mamalia lainnya, termasuk dari gading. Di Gua Golo, Maluku yang terletak di pesisir, pada lapisan yang berumur 32-28.000 tahun yang lalu, ditemukan alat dari cangkang moluska laut, seperti opercula dari Turbo marmoratus67. Di ceruk Jerimalai, Timor Leste ditemukan mata",Gua Golo,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,99,"ukan dua susunan dari koral, membentuk lingkaran dan semi-lingkaran. Di dalam salah satu susunan terdapat batu pebble vulkanik, cangkang kerang 73 dan artefak litik 74. Di luar Indonesia jejak perapian juga ditemukan di Gua Niah, Sarawak, Malaysia75. Sebuah kejutan penemuan terjadi baru-baru ini di bidang seni yang sebelumnya tidak pernah terpikirkan para ahli. Di wilayah karst Maros, Sulawesi Selatan yang sangat kaya situs gua beserta lukisan",Gua Niah,duplicate,
Gua El Castillo,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,99,"budaya (local genius ), produk kekayaan alam pikir dan cita rasa keindahan yang luar biasa yang tidak dimiliki para MMA di bagian dunia lainnya. Satu-satunya karya yang sepadan dengan lukisan Liang Timpuseng terdapat di Gua El Castillo, Spanyol Utara berupa motif cakram ( disc) dengan pertanggalan sekitar 40,8 ka 77. Patut dicatat pula bahwa pertanggalan lukisan- lukisan di beberapa gua lainnya di Maros menunjukkan usia yang tua di antara Leang Timpus",Gua El Castillo,duplicate,
Leang Timpuseng,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,99,"El Castillo, Spanyol Utara berupa motif cakram ( disc) dengan pertanggalan sekitar 40,8 ka 77. Patut dicatat pula bahwa pertanggalan lukisan- lukisan di beberapa gua lainnya di Maros menunjukkan usia yang tua di antara Leang Timpuseng, Maros, Sulawesi selatan",Leang Timpuseng,duplicate,
Leang Lemdubu,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,100,"dirinya”, suatu embrio konsepsi kepercayaan yang berkembang kemudian di awal Holosen. Manifestasi pemikiran itu mulai tampak pada adanya perlakuan khusus dengan pengaturan posisi atau sikap si mati dalam penguburan. Di Leang Lemdubu ditemukan rangka setengah lengkap dari seorang perempuan dengan tinggi sekitar 166 cm dan umur sekitar 30 tahun dengan pertanggalan sekitar 30 kya. Rangka yang kedua lebih lengkap berupa seorang perempuan berumur sekita",Leang Lemdubu,duplicate,
Gua Niah,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,100,"m posisi meringkuk ditutup dengan bongkah batu78. Apa sesungguhnya makna dari perlakuan itu belum dapat dijelaskan secara memuaskan79. Menarik pula ditambahkan bahwa praktek penguburan juga diperlihatkan temuan kubur di Gua Niah, Sarawak, Malaysia yang bertanggal 44.000 tahun yang lalu 80. Penemuan-penemuan rangka dengan pengaturan posisi dan sikap ini dipandang sebagai manifestasi awal munculnya konsepsi kepercayaan tentang kehidupan sesudah m",Gua Niah,duplicate,
Leang Timpuseng,,,,,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,100,"enemuan rangka dengan pengaturan posisi dan sikap ini dipandang sebagai manifestasi awal munculnya konsepsi kepercayaan tentang kehidupan sesudah mati dan yang kemudian berkembang pada kala Holosen. Lukisan babi rusa di Leang Timpuseng, Maros, Sulawesi selatan Lukisan jari di Leang salah satu gua dengan lukisan cadas tertua di Maros, Sulawesi selatan",Leang Timpuseng,duplicate,
