label,category,start_date,end_date,source_file,page,evidence_snippet
Prehistory,archaeological,,,data/google-drive-pdfs/1-2.pdf,15,"o the Ming Dynasty, and only one of these sites, in Caiyuanli, Dongju Island, has been excavated. This early stage of research underscores the potential for future discoveries and the need for further development of the prehistory of the archipelago into a comprehensive system. The research on ‘Liangdao Man’ was originally the main motivation for writing this book. The remains of the two ‘Liangdao Man’ individuals are particularly impor- tant bec"
Prehistoric,archaeological,,,data/google-drive-pdfs/1-2.pdf,18,. . . . . . . . . 21 References . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 25 3 The Archaeology of Liangdao Island ............................. 2 9 3.1 The Prehistoric Liangdao Culture of the Matsu Archipelago . . . . . . 29 3.2 Discovery of the Liangdao Prehistoric Sites . . . . . . . . . . . . . . . . . . . . 30 3.3 Excavations of Trenches TP1 and TP3 at the Liangdao-Daowei-I Site .
Prehistoric,archaeological,,,data/google-drive-pdfs/1-2.pdf,18,. . . . . . . . . . . . . . . . . . . 25 3 The Archaeology of Liangdao Island ............................. 2 9 3.1 The Prehistoric Liangdao Culture of the Matsu Archipelago . . . . . . 29 3.2 Discovery of the Liangdao Prehistoric Sites . . . . . . . . . . . . . . . . . . . . 30 3.3 Excavations of Trenches TP1 and TP3 at the Liangdao-Daowei-I Site . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 31 3 . 3 . 1 E x c a v a t i o nM e
Pleistocene,geological,,,data/google-drive-pdfs/1-2.pdf,19,ions and ‘Liangdao Man’ ..... 8 9 6.1 Human Populations of the Eastern Asian Region . . . . . . . . . . . . . . . . 89 6.2 Genetics and East Asian Populations . . . . . . . . . . . . . . . . . . . . . . . . . . 90 6.2.1 Pleistocene Eastern Asian Populations . . . . . . . . . . . . . . . . . . 91 6.2.2 The Multi-regionalism of Human Evolution . . . . . . . . . . . . . . 92 6.2.3 The “Out of Africa Theory” . . . . . . . . . . . . . . . . . . . . . .
Neolithic,archaeological,,,data/google-drive-pdfs/1-2.pdf,19,. . . . . . . . . . . . . . . . . . . . . . . . . 93 6.2.4 Dating and Pathways of AMH into Eastern Asia . . . . . . . . . . 96 6.2.5 The “Two-Layer Model” in East Asia . . . . . . . . . . . . . . . . . . . 97 6.2.6 The Neolithic’s Impact on the East Asian Mainland . . . . . . . 99 6.3 Population Groups in East Asia During the Neolithic Age . . . . . . . . 100 6.3.1 The Negrito Population Groups in East Asia . . . . . . . . . . . . . 100 6.3.2 T
Neolithic,archaeological,,,data/google-drive-pdfs/1-2.pdf,19,. . . . . . . . 96 6.2.5 The “Two-Layer Model” in East Asia . . . . . . . . . . . . . . . . . . . 97 6.2.6 The Neolithic’s Impact on the East Asian Mainland . . . . . . . 99 6.3 Population Groups in East Asia During the Neolithic Age . . . . . . . . 100 6.3.1 The Negrito Population Groups in East Asia . . . . . . . . . . . . . 100 6.3.2 The Sino-Tibetan Population Groups in East Asia . . . . . . . . . 102 6.4 The Southeastern Coastal Asians and
Neolithic,archaeological,,,data/google-drive-pdfs/1-2.pdf,20,Contents xxiii 7 ‘Liangdao Man’ from Physical and Cultural Anthropological Perspectives ................................................... 1 1 5 7.1 Changes in Subsistence During the Neolithic . . . . . . . . . . . . . . . . . . . 115 7.2 Exploring the Origin of ‘Liangdao Man’ from a Cranial-Morphological Perspective . . . . . . . . . . . . . . . . . . . . . 117 7.3 ‘Liangdao Man’ from Linguistic Perspectives
Prehistoric,archaeological,,,data/google-drive-pdfs/1-s2.0-S0018442X13000589-main.pdf,1,"and archaeological literature, which suggest a typical Tongan diet was centered on well-cooked, carbohydrate-rich root vegetables. http://dx.doi.org/10.1016/j.jchb.2013.02.041 Ban Non Wat: An update on the lives of late prehistoric mainland Southeast Asians N. Tayles*, S. Halcrow, C. King, A. Clark, A. Foster, N. Harris (University of Otago, Dunedin, New Zealand), nancy.tayles@otago.ac.nz The late prehistoric Southeast Asian site of Ban Non Wat, w"
Prehistoric,archaeological,,,data/google-drive-pdfs/1-s2.0-S0018442X13000589-main.pdf,1,"on Wat: An update on the lives of late prehistoric mainland Southeast Asians N. Tayles*, S. Halcrow, C. King, A. Clark, A. Foster, N. Harris (University of Otago, Dunedin, New Zealand), nancy.tayles@otago.ac.nz The late prehistoric Southeast Asian site of Ban Non Wat, with 630 burials, has allowed detailed, multifaceted bioarchaeological research into the lives of the people represented. Here we review ﬁnd- ings to date, including demography, immi"
Prehistory,archaeological,,,data/google-drive-pdfs/1-s2.0-S0018442X13000589-main.pdf,1,"creasing variation in burial contexts over time until the late period, when they reduced again. Overall the research is suggesting strongly that the lives of the people at Ban Non Wat improved until the latest period of prehistory, when iron appears at the site and climate change occurred. Research on pathology is yet to be completed. The variability in the evidence shows the human biological response was complex and a ﬁnal interpretation awaits"
Neolithic,archaeological,,,data/google-drive-pdfs/1-s2.0-S0018442X13000589-main.pdf,2,"160 ABSTRACTS / HOMO - Journal of Comparative Human Biology 64 (2013) 142–162 comparisons will outline parallels to burial traditions in Neolithic Island Southeast Asia including Kalimantan and Taiwan. This includes such aspects as placement of secondary deposits in ceramic containers, the association of ceramics with the skull, and the association of ceramic frag"
Pleistocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,1,"tment of Geology, Auburn University, Auburn, USA gDepartment of Anthropology, Northern Illinois University, DeKalb, USA Received 25 August 2003; accepted 21 January 2005 Keywords: Homo erectus ; Incisor; Southeast Asia; Pleistocene; Electron paramagnetic resonance; EPR; Geochronology Introduction Although not as well known as the fossil- bearing beds of central and eastern Java, fossilif- erous sites from western Java were ﬁrst identiﬁed by Europe"
Holocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,4,seum of Natural History (Smithsonian); 17 individuals collected by Hooijer and reported in Mahler (1973) Mahler (1973) Homo sapiens 11 Australian Aboriginals from the National Museum of Natural History (Smithsonian); 14 Holocene Kenyans from the National Museums of Kenya Data collected by the ﬁrst author 664 A. Kramer et al. / Journal of Human Evolution 48 (2005) 661 e667
Middle Pleistocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,6,"feature ( Weeks et al., 2003). Thus, the EPR ages reported here are very likely younger than the actual age. Summary and conclusion The in situ discovery at Cisanca of RH1, a lower lateral incisor, expands the range of middle Pleistocene hominid occupation on Java into the western portions of the island. The tooth (which is too large to be Macaca and too small to be Pongo) is most similar in size to H. sapiens and most similar in shape to H. erectus . A"
Pleistocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,6,"rally. However, because there is evidence of post-depositional heating of the bovid teeth, these dates should be interpreted as minima and it is therefore possible that RH1 may derive from the early, rather than middle, Pleistocene. Continued work in West Java could provide an improved geochronological framework for homi- nid occupation in the area. Acknowledgements The authors thank L. Boatner, Solid State Division, Oak Ridge National Laboratory"
Prehistory,archaeological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,7,"., Djubiantono, T., Aziz, F., Hames, W.E., 2002. Radiometric ages of faunal and hominid-bearing sites in West Java: preliminary results from the 1999 ﬁeld season. Abstracts of the Seventeenth Congress of the Indo-Paciﬁc Prehistory Association, Academia Sinica, Taipei, Taiwan, R.O.C., pp. 116e117. Kramer, A., Weinand, D.C., Djubiantono, T., Aziz, F., Hames, W.E., Elam, J.M., Bogard, J.S., Weeks, R.A., Sumarinda, I., Agus, Durband, A.C., 2001. Mult"
Late Miocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,7,": The Geo- logical Museum in a Changing World, Bandung, West Java, Indonesia, August 23. Weinand, D.C., Hames, W.E., Renne, P., Djubiantono, T., Aziz, F., Durband, A.C., Agus, Kramer, A. New evidence for the presence of late Miocene/early Pliocene terrestrial mammals in West Java, Indonesia, in prep. Zwierzycki, J., 1926. De beteekenis van de nieuwe fossiele werveldief-vondsten bij Boemiajoe. De Mijningenieur 7e, 229e234. 667A. Kramer et al. / Jour"
Early Pliocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,7,"gical Museum in a Changing World, Bandung, West Java, Indonesia, August 23. Weinand, D.C., Hames, W.E., Renne, P., Djubiantono, T., Aziz, F., Durband, A.C., Agus, Kramer, A. New evidence for the presence of late Miocene/early Pliocene terrestrial mammals in West Java, Indonesia, in prep. Zwierzycki, J., 1926. De beteekenis van de nieuwe fossiele werveldief-vondsten bij Boemiajoe. De Mijningenieur 7e, 229e234. 667A. Kramer et al. / Journal of Human Ev"
Late Pleistocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,1,"Evolution of Homo in the Middle and Late Pleistocene Katerina Harvati a, b, *, Hugo Reyes-Centeno c, d a Paleoanthropology, Institute for Archaeological Sciences and Senckenberg Centre for Human Evolution and Palaeoenvironment, Eberhard Karls Univ ersity of Tübingen, Rüme"
Late Pleistocene,geological,,,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,1,"e info Article history: Received 27 June 2022 Accepted 10 October 2022 Available online 1 1 November 2022 Keywords: Homo heidelbergensis Neanderthals Modern human origins Speciation Hybridization abstract The Middle and Late Pleistocene is arguably the most interesting period in human evolution. This broad period witnessed the evolution of our own lineage, as well as that of our sister taxon, the Neanderthals, and related Denisovans. It is exceptionall"
Historical,historical,,,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,1,"nformation paints a highly complex picture, often described as ‘the Muddle in the Middle, ’ defying the common adage that ‘more evidence is needed ’ to resolve it. Here we review competing phylogenetic scenarios and the historical and theoretical developments that shaped our approaches to the fossil record, as well as some of the many remaining open questions associated with this period. We propose that advancing our under- standing of this criti"
Late Pleistocene,geological,-298050,-298050,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,1,"conceptual and theoretical framework. © 2022 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/). 1. Introduction The Middle to Late Pleistocene is highly relevant for the study of human origins. This is the period when the ancestral lineage of living humans developed, thought to have ﬁrst emerged as early as ca. 300 ka in Africa from both fossil ( Hublin et al."
Pleistocene,geological,-298050,-298050,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,1,"st emerged as early as ca. 300 ka in Africa from both fossil ( Hublin et al., 2017) and genetic (Schlebusch et al., 2017 ; Lipson et al., 2020 ) evidence. It also wit- nessed the evolution of the Neanderthals, an iconic Pleistocene Eurasian species. Their trajectory is relatively well documented through a comparatively abundant record comprising partial fossil skeletons seemingly preserved through intentional burial, as well as a wealth of associa"
