SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS;WEB_IMAGES;DUPLICATE_DB_NAME;DUPLICATE_SCORE;DUPLICATE_FLAG
drive-258250d0f75a;Gua Braholo BHL F7;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: WN 3 4 0 0 0 0 0 ? 0 2 ? 0 0 0 0 45 Pawon PWN 4 4 0 0 0 ? 0 0 0 3 0 ? 0 ? 0 46 Pawon PWN 5 5 2 0 0 0 0 0 ? 3 1 1 0 ? ? 47 Gua Braholo BHL 1 4 0 0 0 0 0 0 0 2 1 1 0 1 0 48 Gua Braholo BHL 5 4 0 0 0 0 0 0 0 3 3 0 0 1 0 49 Gua Braholo BHL F7 4 0 0 0 0 0 0 0 2 1 0 0 1 0 50 Gua Braholo BHL97-F4-17 4 0 0 0 1 0 0 0 3 1 0 0 1 0 429 39 Pawon PWN 5 12,5 12,4 40 Gua Braholo BHL 1 11 10,8 41 Gua Braholo BHL 5 12,1 11,8 42 Gua Braholo BHL F7 11,4 11,2 43 Song Tritis STR 1 10,3 10,5 44 Song Terus ST 1 11,2 11,8 45 Song Terus ST94-KI-95-100 13 11,6 46 Song Keplek SK 4 11,8 12,2 47 Gua Kidang GKD 2 9,2 10,5 48 Goea Djimbe DMB 17324 12 12 49 Goea Djimbe DMB 173;;;;
drive-54ab87e7293a;Gua Braholo BHL H8;;;;;;;No;Not documented;Not specified;-11700;1950;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: 385 b. Holocene Homo sapiens Gua Braholo NO LOCALITY NO. COL CATEGORY GRADE 1 Gua Braholo BHL 97-F4-12 URC 2 2 Gua Braholo BHL 97-F4-20 URC 3 3 Gua Braholo BHL H8 410 URM2 5 4 Gua Braholo BHL H8 412 URM3 2 Table A.30. Wear pattern of isolated upper teeth from Gua Braholo The observation shows 3 of 4 isolated upper teeth from Gua Braholo site could be included in the further analy 389 b. Holocene Homo sapiens Gua Braholo NO LOCALITY NO. COL CATEGORY GRADE 1 Gua Braholo BHL 97-F4-17 LRM2 3 2 Gua Braholo BHL 98-I7-19 LRP4 1 3 Gua Braholo BHL H8 411 LRM3 3 Table A.38. Wear pattern of isolated lower teeth from Gua Braholo. The observation shows all of 3 isolated lower teeth from the Gua Harimau site could be included in the further analysis (Table A.38). Song Te;;;;
drive-2e0e09d75155;Gua Debu;;;;;;;No;Not documented;Not specified;-4000;-350;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;"""Description: TABLE 12 Site Total Uni face Bi face reported Gua Kajang 5 1 ? Gua 'To 'Long 6 - 6 Kota Tongkat 2 ? 1 Gua Kerbau ? some some Gua Debu 32 ? some Gel Ba'i t ? some some Bukit Chintamani ? ? ? Bukit Chu ping 6 6 - Gua Madu 500 ? some Gua Cha - - some 'rABLE 12. Flaked pebble tools from Malayan sites. pt Gunong Cheroh. Unio seems also to have been frequently found. This common element of diet is consistent with a food gathering economy. At some sites Melania shell was particularly abundant; Collings 1 reports that at Gua Debu 548 Melaniid shells were counted in an area six feet by eight feet and six inches deep. Collings identifies marine and freshwater molluscs from Bukit Chuping, 2 which are listed in Table 11. Bukit Chuping is now eleven | Keywords: Karst""";;;;
drive-51ae3ac1c87f;Gua Gogor;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk Pajangan 41 Alat batu, kerang, tulang fauna, rangka manusia 4 3 banyak Sumber: Wibowo et al., 2021 Potensi Arkeologis Gua di Zona Rembang Bagian Barat Mayoritas situs di Zona Rembang vasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng tunggal diketahui bahwa mayoritas situs berada di dalam kelas lereng te;;;;
drive-7e340ccbac1f;Gua Keongan;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: g bagian barat (Hari Wibowo, Ahmad Surya Ramadhan, Muhammad Wisnu Wibisono, dan Rakhmat Dwi Putra) Tabel 14. Sintesis pengharkatan kandungan data arkeologis. Nama Gua Jumlah temuan Jenis temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk dan tidak ada yang termasuk dalam kategori aksesibilitas sulit atau sangat sulit. Tabel 12. Sintesis pengharkatan aksesibilitas. Nama Gua Harkat Elevasi Relatif Harkat Lereng Tunggal Interval Harkat Aksesibilitas Kelas Gua Keongan 5 4 9 5 sangat mudah Ceruk Poko 5 3 8 4 mudah Gua Watu Gong 3 3 6 3 sedang Gua Gogor 4 5 9 5 sangat mudah Kompleks Ceruk Pajangan 4 3 7 4 mudah Sumber: Wibowo et al., 2021 Variabel Morfologi Gua Kriteria morfologi yan;;;;
drive-a34552383712;Gua Kuya. Konsentrasi;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: d/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 47 3.2.3 Fragmen Keramik Gambar 2.3 Fragmen Keramik II pada Situs Gua Kuya (Dok: Ato, 2021) Gambar 2.3 di atas, merupakan fragmen keramik di lereng situs Gua Kuya. Konsentrasi fragmen keramik terletak pada grid S6B3 terdapat di permukaan tanah lereng Gua Kuya. Kondisi keramik tidak utuh. Pada bagian keramik terdapat tanah yang melekat. Bentuk keramik yang diasumsikan adalah mangkuk. Fragmen k SSN 2613-8999 (Print) 48 3.2.5 Fragmen Tengkorak dan Tulang Gambar 2.5 Fragmen Tengkorak dan Tulang pada Situs Gua Kuya (Dok: Ato, 2012) Gambar 2.5 di atas, merupakan fragmen tengkor ak dan tulang yang terdapat di Situs Gua Kuya. Konsentrasi fragmen terdapat pada grid U3T3 di atas permukaan lantai Gua Kuya. Kotak ini berada di dekat dinding gua dengan ketinggian 100 cm diatas permukaan tanah. Kondisi fragmen tengkorak pada saat ditemu;;;;
drive-801b70ba7128;Gua La Kolumbu;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: was first documented by Indonesia’s National Research Centre for Archaeology in 1977, with further studies in 1984 and 1986 (Kosasih 1985, 1989, 1995). The 10 sites of Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua T oko, Gua La Kolumbu, Ceruk Ida Malangi, Ceruk Lasabo A, Ceruk Lasabo B, Ceruk La Nsafora and Ceruk Tangga Ara were recorded for a variety of motifs including anthropomorphs, zoomorphs, sun and boat motifs, and warfare and hunting weapons t : Rock art sites in the study area. Source: Adapted from Oktaviana (2016). 1 See Marschall and Wäﬂer (2012) for site maps, photographs and sketches of the rock art from Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua T oko, Gua La Kolumbu and Ceruk Lasabo. | Keywords: Rock art site;;;;
drive-94773a246912;Gua Leo;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.1016/j.quaint.2009.1;Description: e ser ta: Pat - rick De gou ve, Chris ti an Lo ca tel li, Jo si a ne dan Ber - nard Lips, Geor ges Ro bert. 2003 Mei: eks pe di si pe ne li ti an di Gu nung Ma rang, se ba gi an di bia yai oleh SPB, pe ne mu an garca di Gua Leo, Liang Karim, Ilas Kerim. Pe ser ta: Serge Cail la ult, Luc-Hen ri Fage. Ok to ber-No vem ber: eks pe di si besar yang di - bia yai oleh Na tio nal Geo grap hic So ci e ty, de ngan syu ting film untuk ARTE, kun jung an ia. Se lain pe lin dung an yang lazim, se per ti pe ma sang an pagar dan pos pen ja ga, se ba ik nya wi la yah pe gu nung an karst di Ka li man tan Timur di ma suk kan dalam cagar q Gua Ham, matahari terbit di lembah… w Gua Leo yang rumit, terletak di tebing 150 m dari Sungai Bengalon, memperlihatkan berbagai bentuk erosi khas di cekungan yang tergenang, dengan rongga yang sangat luas. Pembentukan tipe cekungan seperti itu terjadi pada masa ge | Keywords: Karst;;;;
drive-c6a268b563e4;Gua Liang Batu Ukir;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.1016/j.jhevol.2006.08.011;Description: c) Distribution of lithik tools at the Sites of Gua Liang Batu Ukir . Based on surface surveys in sector 3, Gua Liang Batu Ukirfound the distribution of lithik tools such a s flakes, flakes tools, point tools, and core stones [3]. The morphological features of flake tools are the same a food and ways to process food resources. Based on the analysis of morphological characteristics of Gua Liang Bangkai 1, Gua Liang Bangkai10, Gua Liang Batu Ukir, Ceruk Liang Susu 1 and Gua Liang Jago , it is known that the selection of residential caves is based on the intensity of sunlight into t he cave room. This factor has caused the cave room to be dry and not moist. In ad | Keywords: Cave;;;;
drive-c13b662fff1c;Gua Madu;;;;;;;No;Excavated;Not specified;-11700;1950;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: 8 II 1927 Evans, 1928 I Gua Debu 1935 Collings, 1936 Gua Kelawar 1935 II 1936 Gol Ba1 it 1935 Callenfels and Noone, 1940 Bu.kit Chintamani 1935 Tweedie, 1936 Gua Cha 1935 Noone, 1939 Bu.lei t Chuping 1936 Collings, 1937 Gua Madu 1939 1I1weedie, 1940 Gua Cha 1954 Sieveking, 1954 TABLE 8. Sites excavated in Malaya. TABLE 12 Site Total Uni face Bi face reported Gua Kajang 5 1 ? Gua 'To 'Long 6 - 6 Kota Tongkat 2 ? 1 Gua Kerbau ? some some Gua Debu 32 ? some Gel Ba'i t ? some some Bukit Chintamani ? ? ? Bukit Chu ping 6 6 - Gua Madu 500 ? some Gua Cha - - some 'rABLE 12. Flaked pebble tools from Malayan sites. | Keywords: Excavated site;;;;
drive-e20181d2440f;Gua Masri I;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: las air. Namun, kami tidak akan tahan be gi ni ter la lu lama. Ke esok an ha ri nya, kami kem ba li ke gua yang kami namai Gua Masri untuk meng hor mati pe man - du kami dan lang sung naik ke gua kedua. Ke ju tan besar! Gua Masri II itu ga le ri nya kecil dan me nu suk ke arah me na ra karst. Ga le ri mem ben tang 5 m de ngan ting gi 2 m, “me re ka” telah me nyem bur kan te ra an 71 ta ngan ma nu sia, de ngan su sun an yang meng he ran kan. Ada su tidak jelas Kelompok 4 27 tanganKelompok 2 9 tangan Kelompok 1 10 tangan di ketinggian 4.50 m Kelompok 3 13 tangan: 5 Ka - 6 Ki - 2 tidak jelas14 tangan 1 tanganDi kedalaman gua ( - dan penjelajahan) 1 tangan Batu bilah Gua Masri I Setelah mendaki 15 m dan berjalan di atas reruntuhan yang dilindungi oleh cadas-overhang, kami masuk ke gua ini melalui rongga relatif sempit yang membatasi terobosan cahaya. Segera kami dapati galeri melebar yang me | Keywords: Karst;;;;
drive-ae948b55aa35;Gua Mentanduno;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: In 2005, the first observations of negative hand stencils on Muna Island were made at Gua Pominsa by the Makassar Archaeology Office. In 2015, more negative hand stencils were recorded at two further Muna Island sites (Gua Mentanduno and Gua Kabori) by the Directorate of Cultural Property Preservation and Museums, and in 2016 a new site with parietal art (Gua Lakan Taghu) was discovered. Analysis of the Muna Island boat imagery documents the depicti eded to confirm this claim, and the coralloid speleothems that cover one of the Gua Metanduno stencils may prove suitable for dating. Table 6.2: Recorded prau motifs in the Muna karsts. Site Number of prau motifs Source Gua Mentanduno 17 13 Kosasih 1995 BCPBM 2015 Gua Kabori 16 9 Kosasih 1995 BCPBM 2015 Gua Pominsa 14 BCPBM 2015 La Kolumba 2 Kosasih 1995 Lasobo A 2 Kosasih 1995 Lakuba 1 BCPBM 2015 Ceruk Lakan Taghu 2 Oktaviana 2016 Source: Ok | Keywords: Rock art site;;;;
