IDArkeoGIS;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;IdArk;IdPactols;IdAat
2040;Analisis;Penanggalan;;;;https://ark.frantiq.fr/ark:/26678/pcrtpSis9hZLUb;14335;http://vocab.getty.edu/page/aat/300054714
2041;Analisis;Penanggalan;Radiokarbon;;;http://ark.frantiq.fr/ark:/26678/pcrtThu8wInkhJ;16554;http://vocab.getty.edu/page/aat/300054717
2042;Analisis;Penanggalan;Radiokarbon;Sampel situs;;;;
2043;Analisis;Penanggalan;Radiokarbon;Sampel referensi;;;;
2044;Analisis;Penanggalan;Dendrokronologi;;;http://ark.frantiq.fr/ark:/26678/pcrtYgu4jWtWru;14339;http://vocab.getty.edu/page/aat/300054715
2045;Analisis;Penanggalan;Dendrokronologi;Sampel situs;;;;
2046;Analisis;Penanggalan;Dendrokronologi;Sampel referensi;;;;
2047;Analisis;Penanggalan;Isotop oksigen;;;https://ark.frantiq.fr/ark:/26678/pcrtTnlurfPgFb;21877;http://vocab.getty.edu/page/aat/300379640
2048;Analisis;Penanggalan;Isotop oksigen;Sampel situs;;;;
2049;Analisis;Penanggalan;Isotop oksigen;Sampel referensi;;;;
2050;Analisis;Penanggalan;OSL;;;https://ark.frantiq.fr/ark:/26678/pcrtoz5WZxu4iz;27572;http://vocab.getty.edu/page/aat/300266050
2051;Analisis;Penanggalan;OSL;Sampel situs;;;;
2052;Analisis;Penanggalan;OSL;Sampel referensi;;;;
2053;Analisis;Penanggalan;Paleomagnetisme;;;http://ark.frantiq.fr/ark:/26678/pcrtwWpo2faNF0;35806;http://vocab.getty.edu/page/aat/300223526
2054;Analisis;Penanggalan;Paleomagnetisme;Sampel situs;;;;
2055;Analisis;Penanggalan;Paleomagnetisme;Sampel referensi;;;;
2056;Analisis;Penanggalan;Termoluminesensi;;;https://ark.frantiq.fr/ark:/26678/pcrtVPxBxiVqMy;17284;http://vocab.getty.edu/page/aat/300054718
2057;Analisis;Penanggalan;Termoluminesensi;Sampel situs;;;;
2058;Analisis;Penanggalan;Termoluminesensi;Sampel referensi;;;;
2059;Analisis;Antropologi;;;;http://ark.frantiq.fr/ark:/26678/pcrttcpeEPi2K0;13232;http://vocab.getty.edu/page/aat/300054322
2060;Analisis;Antropologi;Sampel situs;;;;;
2061;Analisis;Antropologi;Sampel referensi;;;;;
2062;Analisis;Botani;;;;https://ark.frantiq.fr/ark:/26678/pcrtvw7qwGBX9r;13607;http://vocab.getty.edu/page/aat/300054467
2063;Analisis;Botani;Makroremains;;;https://ark.frantiq.fr/ark:/26678/pcrtSE0sKffhOM;15540;
2064;Analisis;Botani;Makroremains;Antrakologi;;http://ark.frantiq.fr/ark:/26678/pcrtHymRiII9SY;24391;http://vocab.getty.edu/page/aat/300438514
2065;Analisis;Botani;Makroremains;Antrakologi;Sampel situs;;;
2066;Analisis;Botani;Makroremains;Antrakologi;Sampel referensi;;;
2067;Analisis;Botani;Makroremains;Karpologi;;http://ark.frantiq.fr/ark:/26678/pcrtRi9at48zkM;13751;
2068;Analisis;Botani;Makroremains;Karpologi;Sampel situs;;;
2069;Analisis;Botani;Makroremains;Karpologi;Sampel referensi;;;
2070;Analisis;Botani;Mikroremains;;;https://ark.frantiq.fr/ark:/26678/pcrtmn4k8f28dv;15657;
2071;Analisis;Botani;Mikroremains;Palinologi;;http://ark.frantiq.fr/ark:/26678/pcrt1vSh3lIhHm;16077;http://vocab.getty.edu/page/aat/300251145
2072;Analisis;Botani;Mikroremains;Palinologi;Sampel situs;;;
2073;Analisis;Botani;Mikroremains;Palinologi;Sampel referensi;;;
2074;Analisis;Botani;Mikroremains;Fitolit;;http://ark.frantiq.fr/ark:/26678/pcrt5Bet7kzAgJ;16226;http://vocab.getty.edu/page/aat/300379628
2075;Analisis;Botani;Mikroremains;Fitolit;Sampel situs;;;
2076;Analisis;Botani;Mikroremains;Fitolit;Sampel referensi;;;
2077;Analisis;Geologi;;;;https://ark.frantiq.fr/ark:/26678/pcrtcMAzwfcMyS;14983;http://vocab.getty.edu/page/aat/300054546
2078;Analisis;Geologi;Granulometri;;;http://ark.frantiq.fr/ark:/26678/pcrtAO75iuppgW;27455;http://vocab.getty.edu/page/aat/300380072
2079;Analisis;Geologi;Granulometri;Sampel situs;;;;
2080;Analisis;Geologi;Granulometri;Sampel referensi;;;;
2081;Analisis;Geologi;Pedologi;;;http://ark.frantiq.fr/ark:/26678/pcrts8Sij9iWxU;16514;http://vocab.getty.edu/page/aat/300054557
2082;Analisis;Geologi;Pedologi;Sampel situs;;;;
2083;Analisis;Geologi;Pedologi;Sampel referensi;;;;
2084;Analisis;Geologi;Petrography;;;https://ark.frantiq.fr/ark:/26678/pcrtiiGa8GYBlS;16525;
2085;Analisis;Geologi;Petrography;Sampel situs;;;;
2086;Analisis;Geologi;Petrography;Sampel referensi;;;;
2087;Analisis;Geologi;Phosphate;;;https://ark.frantiq.fr/ark:/26678/pcrt2nbSAPPSwB;24140;http://vocab.getty.edu/page/aat/300379779
2088;Analisis;Geologi;Phosphate;Sampel situs;;;;
2089;Analisis;Geologi;Phosphate;Sampel referensi;;;;
2090;Analisis;Geologi;Sedimentologi;;;https://ark.frantiq.fr/ark:/26678/pcrt4vmcwIU4yP;17188;http://vocab.getty.edu/page/aat/300379586
2091;Analisis;Geologi;Sedimentologi;Sampel situs;;;;
2092;Analisis;Geologi;Sedimentologi;Sampel referensi;;;;
2093;Analisis;Zoologi;;;;https://ark.frantiq.fr/ark:/26678/pcrt3qpYFnIQFm;17595;http://vocab.getty.edu/page/aat/300054472
2094;Analisis;Zoologi;Entomologi;;;http://ark.frantiq.fr/ark:/26678/pcrtePI6K35S9V;35447;http://vocab.getty.edu/page/aat/300251856
2095;Analisis;Zoologi;Entomologi;Sampel situs;;;;
2096;Analisis;Zoologi;Entomologi;Sampel referensi;;;;
2097;Analisis;Zoologi;Fauna;;;http://ark.frantiq.fr/ark:/26678/pcrtT2H2KjqBcU;14717;http://vocab.getty.edu/page/aat/300310150
2098;Analisis;Zoologi;Fauna;Sampel situs;;;;
2099;Analisis;Zoologi;Fauna;Sampel referensi;;;;
2100;Analisis;Zoologi;Mollusc;;;http://ark.frantiq.fr/ark:/26678/pcrt4jqSXocNLw;15701;http://vocab.getty.edu/page/aat/300266510
2101;Analisis;Zoologi;Mollusc;Sampel situs;;;;
2102;Analisis;Zoologi;Mollusc;Sampel referensi;;;;
2103;Analisis;Physiography;;;;https://ark.frantiq.fr/ark:/26678/pcrt6g3bwHKS6p;14982;http://vocab.getty.edu/page/aat/300054389
2104;Analisis;Physiography;Hidrologi;;;http://ark.frantiq.fr/ark:/26678/pcrtqQv1MSIsp0;15126;http://vocab.getty.edu/page/aat/300264403
2105;Analisis;Physiography;Hidrologi;Sampel situs;;;;
2106;Analisis;Physiography;Hidrologi;Sampel referensi;;;;
2107;Analisis;Physical chemistry;;;;https://ark.frantiq.fr/ark:/26678/pcrtkyIAFWLoSn;16221;http://vocab.getty.edu/page/aat/300224431
2108;Analisis;Physical chemistry;Katodoluminesensi;;;;;
2109;Analisis;Physical chemistry;Katodoluminesensi;Sampel situs;;;;
2110;Analisis;Physical chemistry;Katodoluminesensi;Sampel referensi;;;;
2111;Analisis;Physical chemistry;Optical emission spectroscopy;;;https://ark.frantiq.fr/ark:/26678/pcrtAXp46dQPL8;14383;http://vocab.getty.edu/page/aat/300390520
2112;Analisis;Physical chemistry;Optical emission spectroscopy;Sampel situs;;;;
2113;Analisis;Physical chemistry;Optical emission spectroscopy;Sampel referensi;;;;
2114;Analisis;Physical chemistry;X-ray Fluorescence;;;https://ark.frantiq.fr/ark:/26678/pcrtxP5I53Pj0s;18206;http://vocab.getty.edu/page/aat/300224161
2115;Analisis;Physical chemistry;X-ray Fluorescence;Sampel situs;;;;
2116;Analisis;Physical chemistry;X-ray Fluorescence;Sampel referensi;;;;
2117;Analisis;Physical chemistry;ICP-MS;;;https://ark.frantiq.fr/ark:/26678/pcrtJM6rFSQ84T;26009;http://vocab.getty.edu/page/aat/300264220
2118;Analisis;Physical chemistry;ICP-MS;Sampel situs;;;;
2119;Analisis;Physical chemistry;ICP-MS;Sampel referensi;;;;
2120;Analisis;Physical chemistry;SEM-EDS;;;https://ark.frantiq.fr/ark:/26678/pcrtIvN6VPwMxK;22150;http://vocab.getty.edu/page/aat/300224957
2121;Analisis;Physical chemistry;SEM-EDS;Sampel situs;;;;
2122;Analisis;Physical chemistry;SEM-EDS;Sampel referensi;;;;
2123;Analisis;Physical chemistry;SEM-WDS;;;;;
2124;Analisis;Physical chemistry;SEM-WDS;Sampel situs;;;;
2125;Analisis;Physical chemistry;SEM-WDS;Sampel referensi;;;;
2126;Analisis;Physical chemistry;Sediment percolation;;;;;
2127;Analisis;Physical chemistry;Sediment percolation;Sampel situs;;;;
2128;Analisis;Physical chemistry;Sediment percolation;Sampel referensi;;;;
2129;Analisis;Physical chemistry;Spectroscopy FTIR;;;;;
2130;Analisis;Physical chemistry;Spectroscopy FTIR;Sampel situs;;;;
2131;Analisis;Physical chemistry;Spectroscopy FTIR;Sampel referensi;;;;
2132;Analisis;Physical chemistry;Spectroscopy RAMAN;;;;;
2133;Analisis;Physical chemistry;Spectroscopy RAMAN;Sampel situs;;;;
2134;Analisis;Physical chemistry;Spectroscopy RAMAN;Sampel referensi;;;;
2135;Analisis;Physical chemistry;Differential thermal;;;https://ark.frantiq.fr/ark:/26678/pcrt9Mjxw2pZ0M;35656;http://vocab.getty.edu/page/aat/300214739
2136;Analisis;Physical chemistry;Differential thermal;Sampel situs;;;;
2137;Analisis;Physical chemistry;Differential thermal;Sampel referensi;;;;
2138;Analisis;Physical chemistry;Termogravimetrik;;;;;
2139;Analisis;Physical chemistry;Termogravimetrik;Sampel situs;;;;
2140;Analisis;Physical chemistry;Termogravimetrik;Sampel referensi;;;;
