site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,rejection_reason
Existing Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",178,"lt of limited hominin activity, but rather the lack of research funding and accessibility to inves- tigate regions that surely served as faunal and floral migration corridors throughout the Plio-Pleistocene. Many of the Existing Sites Require More Detailed Study Many of the CE China hominin-bearing caves (e.g., Yiyuan, Hexian, Chaoxian) lack associated cultural materials. For instance, the Homo erectus crania from Huludong were found in association w",bad_keyword
Middle Pleistocene. The Lower Palaeolithic Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",184,"These data suggest that the early homi- nins arrived in northern China as early as 1.7–1.6 Ma. This remarkable discovery also suggest that early hominins were able to survive in high latitudes for much of the Early and Middle Pleistocene. The Lower Palaeolithic Sites Xiaochangliang Discovered in 1978, Xiaochangliang attracted great attention from international scientists (including archaeologists, geo- logists, and paleontologists) because of its purported anti- quity (You et al. 19",bad_keyword
Doudi Dachangliang Xiaochangliang Donggutuo Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",190,17713 The Earliest Hominin Occupations in the Nihewan Basin of Northern China Table 13.2 Lithic artefacts selected for microscopic examination Doudi Dachangliang Xiaochangliang Donggutuo Sites N % N % N % N % Artifact examined 25 100 16 100 174 100 88 100 Artifact with no use-wear 15 60 13 81.3 137 78.7 50 57 Artifacts with possible use-wear 4 16 1 6.3 15 8.6 18 20 Aritfacts with positive use-wear 6 24 2 12.5,bad_keyword
Paleolithic Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",195,182 K. Bae Fig. 14.1 Primary Paleolithic sites from the Korean Peninsula Legend of Paleolithic Sites in Korea (continued)Legend of Paleolithic Sites in Korea No. Sites Notes 1 Donggwanjin Paleolithic Site 2 Gulpori Paleolithic Site 3 Jangdeongni Paleolithic Site 4 Dajeonni Paleolithic Site 5 Guljaedeok Paleolithic Site,bad_keyword
Korea No. Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",195,182 K. Bae Fig. 14.1 Primary Paleolithic sites from the Korean Peninsula Legend of Paleolithic Sites in Korea (continued)Legend of Paleolithic Sites in Korea No. Sites Notes 1 Donggwanjin Paleolithic Site 2 Gulpori Paleolithic Site 3 Jangdeongni Paleolithic Site 4 Dajeonni Paleolithic Site 5 Guljaedeok Paleolithic Site 6 Dokchon-seungrisan Hominid Fossil Site No. Sites Notes 7 Punggon,bad_keyword
Dokchon-seungrisan Hominid Fossil Site No. Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",195,Korea (continued)Legend of Paleolithic Sites in Korea No. Sites Notes 1 Donggwanjin Paleolithic Site 2 Gulpori Paleolithic Site 3 Jangdeongni Paleolithic Site 4 Dajeonni Paleolithic Site 5 Guljaedeok Paleolithic Site 6 Dokchon-seungrisan Hominid Fossil Site No. Sites Notes 7 Punggongni Paleolithic Site 8 Miljeonni Paleolithic Site 9 Geumpyeongni Paleolithic Site 10 Seungho III cave Paleolithic Site 11 Maeri Paleolithic Site 12 Heungnyeong Paleolithic Site,bad_keyword
Paleolithic Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",196,18314 Peopling in the Korean Peninsula Legend of Paleolithic Sites in Korea (continued) Legend of Paleolithic Sites in Korea (continued) No. Sites Notes 13 Mandalri Hominid Fossil Site 14 Hwacheonni Paleolithic Site 15 Ryokpori Hominid Fossil Site 16 Komonmoru Paleolithic Site 17 Cheon,bad_keyword
No. Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",196,18314 Peopling in the Korean Peninsula Legend of Paleolithic Sites in Korea (continued) Legend of Paleolithic Sites in Korea (continued) No. Sites Notes 13 Mandalri Hominid Fossil Site 14 Hwacheonni Paleolithic Site 15 Ryokpori Hominid Fossil Site 16 Komonmoru Paleolithic Site 17 Cheonjaeam Paleolithic Site 18 Bancheonni Paleolithic Site 19 Ryonggokni Hominid Foss,bad_keyword
Suyanggae Paleolithic Site No. Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",196,ite 56 Keungilga Paleolithic Site 57 Ochangri Paleolithic Site 58 Myeongori Paleolithic Site 59 Sagiri Paleolithic Site 60 Jeommal cave Paleolithic Site 61 Sangsiri Hominid Fossil Site 62 Gunang cave Paleolithic Site 63 Suyanggae Paleolithic Site No. Sites Notes 64 Sangsi-geuneul Paleolithic Site 65 Dodamni Paleolithic Site 66 Keum cave Earliest Paleolithic Site 67 Yeondang Ssang cave Paleolithic Site 68 Janggwanni Paleolithic Site 69 Songduri Paleolithic Site 70 Sorori P,bad_keyword
The Earliest Archaeological Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",198,"a [see Norton 2000]). However, the karstic caves of northwest- ern Korea may provide the best evidence for H. erectus fossils on the Korean peninsula, particularly considering the many H. sapiens localities in the area. The Earliest Archaeological Sites Currently, the oldest stone industry on the Korean penin- sula is the Komunmoru lithic assemblage. Komunmoru was discovered in the mid-1960s and was claimed to be the old- est hominin occupation in the country based on",bad_keyword
Paleolithic Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",202,"18914 Peopling in the Korean Peninsula Chungwon Munhwajae Yeonguwon (2006). The Report of excavation of Songduri Paleolithic Site in Jincheon. Cheongju. Danhara, T. (2008). V olcanic Glasses Found in the Sediments of Paleolithic Sites in Korea and China, and their Comparison with Wide-spread Tephras, In Matsufuji (Ed.), Basic Studies of the Paleolithic Chronology and Paleoenvironmental Changes in East Asia. pp 41–52. Danhara, T., Bae, K. D., Okada, T",bad_keyword
Sokchangni Prehistoric Site,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",202,"ohn, P. K. (1988). Guidebook of study of Paleolithic archaeology in Korea. Yonsei University Press. Sohn, P. K. (1990). Paleolithic site in Korea and Manchuria. Seoul: Korean Institute of Prehistory. Sohn, P. K. (1993). Sokchangni Prehistoric Site (Sokchangni Sonsa Yujok). Seoul: Dong A press. Sohn, P. K., et al. (2002). Paleolithic Culture in Korea. Seoul: Yonsei University Press.",bad_keyword
Yoshioka Sites,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",213,"found in the east Japanese Sea. Chikyu Monthly, 267, 600–604 (in Japanese). Shiraishi, H. (2002). The Paleolithic society and culture (pp. 47–48). Yamakawa Press, (in Japanese), Tokyo. Shiraishi, H., & Kato, C. (1996). Yoshioka Sites IX; Lithic Culturs before AT. Excavation Report of Kanagawa Archaeological Foundation 49 (in Japanese). Soda, T. (2005). Sediment and tephra at the Kanedori site. The report of the second and third excavations of the Ka",bad_keyword
Oldowan Industrial Complex,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",223,"lation, 58 bone, 16, 57, 60–64, 70, 73–76, 193 flexion, 150 plane, 58, 73, 150 squama, 74, 150 torus, 64, 73, 146, 149–151 Ocean crossings, 199 OH-9, 9, 18 Okinawan Islands, 194 Oldowan, 2, 41–46, 50, 117, 118, 123, 124 Oldowan Industrial Complex, 116 Olduvai Gorge, Tanzania, 50 Olduvai subchron, 13, 32, 82, 162, 171 Olea sp., 37 Olorgesailie, Kenya, 50, 51 Opisthion, 60–64, 68, 150 Opisthocranion, 73, 130, 146, 147, 150, 151 Opisthocranion-opisthion chord dista",bad_keyword
,4.155000,5.221000,"4.155, 5.221",decimal_pair,data/google-drive-pdfs/Austronesian Languages/[25898833 - International Journal of Eurasian Linguistics] Austronesian Lights the Way_ The Origins of the Words for ‘Sun’ and Other Celestial Voca bulary in Old Ryukyuan.pdf,7,"nings ‘deity’ and ‘sun’. The earliest attestations with the meaning ‘deity’ date to the early 10th century CE and attestations with the meaning ‘sun’ appear much later, 12 However, kami teda is also attested in OS songs 4.155, 5.221, 7.370, 8.399, 8.426, 13.804, 15.1088, 20.1332, and 20.1361, which shows it was the dominant form across the entire OS . 13 There is actually a third attested form, södaru, an example of a rare t-/s- variation in Japane",empty
,7.370000,8.399000,"7.370, 8.399",decimal_pair,data/google-drive-pdfs/Austronesian Languages/[25898833 - International Journal of Eurasian Linguistics] Austronesian Lights the Way_ The Origins of the Words for ‘Sun’ and Other Celestial Voca bulary in Old Ryukyuan.pdf,7,"and ‘sun’. The earliest attestations with the meaning ‘deity’ date to the early 10th century CE and attestations with the meaning ‘sun’ appear much later, 12 However, kami teda is also attested in OS songs 4.155, 5.221, 7.370, 8.399, 8.426, 13.804, 15.1088, 20.1332, and 20.1361, which shows it was the dominant form across the entire OS . 13 There is actually a third attested form, södaru, an example of a rare t-/s- variation in Japanese. 14 Mamiya",empty
,8.426000,13.804000,"8.426, 13.804",decimal_pair,data/google-drive-pdfs/Austronesian Languages/[25898833 - International Journal of Eurasian Linguistics] Austronesian Lights the Way_ The Origins of the Words for ‘Sun’ and Other Celestial Voca bulary in Old Ryukyuan.pdf,7,"earliest attestations with the meaning ‘deity’ date to the early 10th century CE and attestations with the meaning ‘sun’ appear much later, 12 However, kami teda is also attested in OS songs 4.155, 5.221, 7.370, 8.399, 8.426, 13.804, 15.1088, 20.1332, and 20.1361, which shows it was the dominant form across the entire OS . 13 There is actually a third attested form, södaru, an example of a rare t-/s- variation in Japanese. 14 Mamiya (2005: 226) sta",empty
,15.108800,20.133200,"15.1088, 20.1332",decimal_pair,data/google-drive-pdfs/Austronesian Languages/[25898833 - International Journal of Eurasian Linguistics] Austronesian Lights the Way_ The Origins of the Words for ‘Sun’ and Other Celestial Voca bulary in Old Ryukyuan.pdf,7,"tations with the meaning ‘deity’ date to the early 10th century CE and attestations with the meaning ‘sun’ appear much later, 12 However, kami teda is also attested in OS songs 4.155, 5.221, 7.370, 8.399, 8.426, 13.804, 15.1088, 20.1332, and 20.1361, which shows it was the dominant form across the entire OS . 13 There is actually a third attested form, södaru, an example of a rare t-/s- variation in Japanese. 14 Mamiya (2005: 226) states he could not f",empty
,12.713000,6.342000,"12.713, 6.342",decimal_pair,data/google-drive-pdfs/Austronesian Languages/[25898833 - International Journal of Eurasian Linguistics] Austronesian Lights the Way_ The Origins of the Words for ‘Sun’ and Other Celestial Voca bulary in Old Ryukyuan.pdf,15,"in eighth century WOJ poetry, we find the following attested forms: ama-teru ‘heaven shines’ (MYS 1 5.3650) and the aforementioned sina-teru ‘sun shines’. Although OR ame ~ ama- ‘heaven’ is well-attested in the OS (e.g. 12.713, 6.342), unlike WOJ it is not attested directly before or after teru ‘shining’. OR teru kawa ‘shining heaven’ fills this gap perfectly and aligns well with OR teru sina ‘shin- ing sun’ and OR teru sino ‘shining sun/light’ from",empty
Offer Other Sites,,,,,"data/google-drive-pdfs/Bajau/Tribal communities in the Malay world historical, cultural, and social perspectives by Geoffrey Benjamin Cynthia Chou (z-lib.org).pdf",146,‘Jakuns’ Find That They Are Really ‘Semoq- Beris’”. 17 October 1956. The Star. “‘We Should Lead by Example’: DYMM”. 26 April 1984 . ———. “T unku: No Reason to Doubt Position of Malays”. 6 November 1986 . ———. “Perak to Offer Other Sites to Orang Asli”. 26 October 1994 . ———. “Orang Asli Likely to Get Land Titles”. 19 February 1997 .,bad_keyword
The Sites,,,,,data/google-drive-pdfs/Balang Metti SiteLate Toalean Technology.pdf,14,"traglia. 2015. “Stone Tool Assemblages and Models for the Dispersal of Homo Sapiens out of Africa"". Quatenary International 30: 1-23. doi:10.101016/j.quaint.2015.01.039. Hakim, Budianto, Muhammad Nur, and Rustan. 2009. “The Sites of Gua Passaung ( Rammang-Rammang) and Mallawa: Indicators of Cultural Contact between the Toalian and Neolithic Complexes in South Sulawesi"". Bulletin of Indo-Pasific Prehistory Association 29: 45-52. Heekeren, van HR.",bad_keyword
Waterlogged Sites,,,,,data/google-drive-pdfs/BatujayaAzbestos.pdf,15,"xchange,” Antiquity 89/344, pp. 378–396. Cameron , Judith 2000 “Asbestos cloth and elites in Southeast Asia,” Bulletin of the Indo-Pacific Prehistory Association 19, pp. 47–51. 2007 “New Research into Dongson Cloth from Waterlogged Sites in Vietnam,” in Elizabeth A. BaCus , Ian C. g lover & Vincent C. p igott (eds.), Uncovering Southeast Asia’ s Past. Selected Papers from the 10th International Conference of the European Association of Southeast Asian A",bad_keyword
Known Sites,,,,,data/google-drive-pdfs/Beyond_the_Java_Sea_Art_of_Indonesias_Ou.pdf,62,"1970s. Sylvia Fraser-Lu OPPOSITE Fig. 1.5 DoNcsoN DRuM Sumbawa region, Sangeang Bronze, 90 x 122 Museum Nasionallndonesia,Jakarta, 3364 KNOWN SIT. S OF BRONZE DRUMS (HEGER I) INS UTHEAST ASIA BURl\ lA THAILAND .. L y • Known Sites of Bronze Drums Information about human contact and migration, trade, social stratifica­ tion, and the origin of design styles continue to be sought by scholars in the archaeological record. Pacific archaeological resea",bad_keyword
Lapita Cultural Complex,,,,,data/google-drive-pdfs/Beyond_the_Java_Sea_Art_of_Indonesias_Ou.pdf,310,"nd Los Angeles: Univ. of California Press. Green, R. C. 1979 ""Early Lapita Art from Polynesia and Is­ land Melanesia: Continuities in Ceramic, Barkcloth, and Tattoo Decorations."" In Mead 1979,13-31. 1982 ""Models for the Lapita Cultural Complex."" New Zealand journal of Archaeology 4:7-19. Griffiths, Michael 1989 Indonesian Eden: Aceh~ Rainforest. n.p.: Mobil Services Co., Ltd. Groeneveldt, W. P. 1960 Historical Notes on Indonesia and Malaya Compiled from Chine",bad_keyword
Kiln Sites,,,,,data/google-drive-pdfs/Beyond_the_Java_Sea_Art_of_Indonesias_Ou.pdf,311,"g Betreffende de Zelfbestuurende Landschapp en Paloe, Dolo, Sigi en Biromaroe."" Tijdschrift voor lndische Taal-, Land- en Volkenkunde 54:58-128. Ho, Chuimei 1988 Minnan Blue-and-whi te Wares: An Archaeological Survey of Kiln Sites of the 16th-19th Centuries in Southern Fujian, China. Oxford: B.A.R. International Series 428. Hogbin, Ian, and L. R. Hiatt, eds. 1966 Readings in Australian and Pacific Anthropology. Melbourne : Melbourn e Univ. Press.",bad_keyword
Cultural Complex,,,,,data/google-drive-pdfs/Beyond_the_Java_Sea_Art_of_Indonesias_Ou.pdf,312,"­ ogy."" In Kirch and Hunt 1988, 157-65. 1988b ""The Talapakemalai Lapita Site and Oceanic Prehistory."" National Geographic Research 4 (3):328-42. Kirch, Patrick V., and Terry L. Hunt, eds. 1988 Archaeology of the Lap ita Cultural Complex: A Critical Review. Seattle: Thomas Burke Memorial Washington Stare Museum. Kis-Jovak, Jowa 1., Hetty Nooy-Palm, Rei mar Schefold, and Ursula Schulz-Dornburg 1988 Banua Toraja: Changing Patterns in Archi­ tecture and Sy",bad_keyword
The Lapita Cultural Complex,,,,,data/google-drive-pdfs/Beyond_the_Java_Sea_Art_of_Indonesias_Ou.pdf,314,"lulu: East-West Center. Spencer, J. E. 1966 Shifting Cultivation in Southeast Asia. University of California Publications in Geography, vol. 19. Berkeley and Los Angeles: Univ. of California Press. Spriggs, M.J.T. 1984 ""The Lapita Cultural Complex: Origins, Distribution, Contemporaries, and Suc­ cessors.""]. of Pacific History 19:202-23. Steedly, Mary Margaret 1989 ""Innocence as Authority: Shifting Gender Roles in Karo Curing Ritual."" In Russell and Cunningham 198",bad_keyword
Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",14,"Pietrusewsky M. and Douglas M. T. 2002 University Museum Monograph 111: Ban Chiang, a Prehistoric Village Site in Northeast Thailand I: The Human Skeletal Remains. Philadelphia, PA: University of Pennsylvania Press. Tayles N. 1999. Report of the Research Committee LXI. The Excavation of Khok Phanom Di: A Prehistoric Site in Cent",bad_keyword
A Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",43,"of recently excavated neolithic human crania from the Socialist Republic of Vietnam. International Journal of Anthropology 3: 267–283. Pietrusewsky M. and Douglas M. T. 2002.University Museum Monograph 111: Ban Chiang, A Prehistoric Village Site in Northeast Thailand . Philadelphia, PA: University of Pennsylvania Press. Pookajorn S. 1992. Recent evidence of a late Pleistocene to a middle Holocene archaeological site at Moh Khiew Cave, Krabi province, Thailand.",bad_keyword
A Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",72,"craniometric study of the inhabitants of the Ryukyu Islands and comparison with cranial series from Japan, Asia and the Pacific. Anthropological Science 107: 255–281. Pietrusewsky M. and Douglas M. T. 2002. Ban Chiang, A Prehistoric Village Site in Northeast Thailand I: The Human Skeletal Remains. Philadelphia: University of Pennsylvania Museum of Archaeology and Anthropology. Pookajorn S. 1991. Preliminary Report of Excavations at Moh Khiew Cave, Krabi Provinc",bad_keyword
Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",179,"criminant Functions. Knoxville, TN: University of Tennessee Department of Anthropology. Penrose L. S. 1954. Distance, size and shape. Annals of Eugenics 18: 337–343. Pietrusewsky M. and Douglas M. T. 2002. Ban Chiang, a Prehistoric Village Site in Northeast Thailand I: The Human Skeletal Remains . Philadelphia: University of Pennsylvania Press. Rambo A. T. 1988. Why are the Semang? Ecology and ethnogenesis of aboriginal groups in Peninsular Malaysia. In Rambo",bad_keyword
Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",181,"s. New York: Alfred A. Knopf): Moorees C. A. F. 1957. The Aleut Dentition. Cambridge, MA: Harvard University Press. Ban Chiang males (neolithic/bronze age Thailand): Pietrusewsky M. and Douglas M. T. 2002. Ban Chiang, a Prehistoric Village Site in Northeast Thailand.I : The Human Skeletal Remains. Philadelphia, PA: University of Pennsylvania Press. Swanport, Broadbeach and Roonka Australian Aboriginal males (max- illary diameters only): Smith P. 1982. Dental r",bad_keyword
A Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",230,"s 17: 25–40. Pietrusewsky M. and Douglas M. T. 2001. Intensification of agriculture at Ban Chiang: is there evidence from the skeletons? Asian Perspectives 40: 157–178. 2002. University Museum Monograph 111: Ban Chiang, A Prehistoric Village Site in Northeast Thailand I: The Human Skeletal Remains . Philadelphia: University of Pennsylvania Museum of Archaeology and Anthropology. Powell M. L. 1985. The analysis of dental wear and caries for dietary reconstruc- ti",bad_keyword
A Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",251,"17: 15–36. Pietrusewsky M. and Douglas M. T. 2002a. Intensification of agriculture at Ban Chiang: is there evidence from the skeletons? Asian Perspectives 40: 157–178. 2002b. University Museum Monograph 111. Ban Chiang: A Prehistoric Village Site in Northeast Thailand. I: The Human Skeletal Remains. Philadelphia, PA: Museum of Archaeology and Anthropology, University of Pennsylvania. Steckel R. H. and Rose J. C. 2002.The Backbone of History, Health and Nutrition",bad_keyword
A Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",271,"on microfossil analysis of a lake sediment core, Nong Han Kumphawapi, Udon Thani, northeast Thailand. Asian Perspectives 35: 209–228. Pietrusewsky M. and Douglas M. T. 2002a. University Museum Monograph 111. Ban Chiang, A Prehistoric Village Site in Northeast Thailand I: The Human Skeletal Remains. Philadelphia: Museum of Archaeology and Anthropology, University of Pennsylvania. Palaeodietary change from bone stable isotopes 261",bad_keyword
Prehistoric Village Site,,,,,"data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",357,"emergence of infectious disease in bronze and iron age northern Viet Nam. American Journal of Physical Anthropology , 126: 359–376. Pietrusewsky M. and Douglas M. T. 2002. University Museum Monograph 111: Ban Chiang, a Prehistoric Village Site in Northeast Thailand. Philadelphia, PA : University of Pennsylvania Press. Sattenspiel L. and Harpending H. 1983. Stable populations and skeletal age. American Antiquity 48: 489–498. Soriano M. 1970. The fluoric origin",bad_keyword
Lapita Cultural Complex,,,,,data/google-drive-pdfs/Bomo-Teleng_StoneAdzeWorkshop.pdf,158,"In Brian Hayden (ed.), Lithic Use Wear Analysis, pp. 143-157. New York : Academic Press. Kirch, Patrick V. 1988 Problems and Issues in Lapita Archaeology. In Patrick V. Kirch and Terry L. Hunt (eds.), Archaeology of the Lapita Cultural Complex : A Critical Review, pp. 157-168. Seattle : Thomas Burke Memorial Washington State Museum Research Report no. 5. Krzanovski, W.J. 1988 Principles of Multivariate Analysis : A User's Perspective. New York : Oxford Univer",bad_keyword
,3.030000,2.800000,"3.030, 2.800",decimal_pair,data/google-drive-pdfs/Borneo_Menyingkap_gua_prasejarah.pdf,42,"dak mu dah ka re na ti dak me mi liki data apa pun un tuk mem ban ding kan ar te fak, se per - ti pe cah an ge ra bah ter se but. Tu juh bu lan se te lah kem ba li ke Pran cis, dia me ne le pon ku: – Pi lih satu ang ka: 3.030, 2.800 atau 1.700? Se ge ra ku te bak mak sud nya. – Ang ka ter be sar saja, 3.030! – Se ra tus buat kamu! Saya baru saja me ne ri ma fax dari la bo ra to ri um di Aus tra lia. Peng ukur an C14 ber ta rikh 3.030 ±40 ta hun lal",empty
Nine New Painted Rock Art Sites,,,,,data/google-drive-pdfs/Borneo_Menyingkap_gua_prasejarah.pdf,177,"Numbers and Concentra- tions of Testosterone, Luteinizing Hormone and Œstrogen, in Human Reproduction 13:11, pp. 3000-3004. M OR WOOD M. - 2002 - Visions from the Past, Crows Nest (Allen & Unwin). O’ CON NOR S. - 2003 - Nine New Painted Rock Art Sites from East Timor in the Context of the Western Pacific Region, in Asian Perspectives Vol. 34, n° 1. P LA GNES V., CAUS SE C. & al. - 2003 - Cross Dating (Th/U-14C) of Calcite Covering Prehistoric Paintings in Borneo, in",bad_keyword
Early Metal Period Sites,,,,,data/google-drive-pdfs/BronzeArt_Bali.pdf,6,16 2.8. Pentagonal Plates 16 2.9. Chains 16 2.10. Gold Foil Eye Covers 17 2.11. Axes 17 2.11.1. Type I 19 2.11.2. Type V.B 19 2.11.3. Type VI 20 3. CONSIDERATIONS ON CUPREOUS ARTIFACTS 24 3.1. Interrelationships between Early Metal Period Sites in Bali and Other 24 Regions in Indonesia 3.2. Chronology 31 3.3. The Question of Dongson Influence During The Early Metal Period in 37 Bali 3.4. Sarcophagus Burial and Early Balinese Society 41 4. EARLY STATE AND STATE,bad_keyword
Early Metal Period Sites,,,,,data/google-drive-pdfs/BronzeArt_Bali.pdf,31,"24 Chapter 3 CONSIDERATIONS ON CUPREOUS ARTIFACTS 3.1. Interrelationships between Early Metal Period Sites in Bali and Other Regions in Indonesia According to the distributions of the artifacts described in the preceding chapter, several classes may be seen to occur in clusters. For instance, axes of the crescent-bladed type",bad_keyword
Oldowan Industrial Complex,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,101,"veloped: the African Oldowan. 6.3.1 Introduction The world's oldest known stone ailefacts derive from archaeological sites in the sedimentary basins of the Great Rift Valley, East Africa. These artefacts fall within the Oldowan Industrial Complex (M.D. Leakey 1971, 1975), with the earliest dating to around 2.6 mya (Semaw el al. 2003; see below). The chronology of the terminal phase of the Oldowan is a contentious issue. Most authorities place the end of the 'cla",bad_keyword
Sulawesi. Sites,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,225,"over the time period from at least 44 kya until the Pleistocene-Holocene transition. Bifacial radial reduction of cores was recorded at some of these sites, for example at Lang Rongrien in Thailand and Leang Burung 2 in Sulawesi. Sites with a comparable emphasis on the transport of flake blanks (up to and over 100 mm in maximum dimension) and/or other manageable stone pieces away from reduction areas include Lang Rongrien, Leang Burung 2, Golo Cave in",bad_keyword
The Acheulian Industrial Complex,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,260,"n: Dr. Rudolf Habelt GMBH, 137-158. Clark, J.D., 1992. African and Asian perspectives on the origins of modern humans. Philosophical Transactions of the Royal Society of London B 337( 1280), 201 -215. Clark, J.D., 1994. The Acheulian Industrial Complex in Africa and elsewhere, in Integrative Paths to the Past: Palaeoanthropological Advances in Honor off. Clark Howell, eds. R.S. Corruccini & R.L. Ciochon. (Advances in Human Evolution Series). New Jersey: Paramount Comm",bad_keyword
Lupemban Industrial Complex,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,260,"e West, in Early Human Behaviour in Global Context: the Rise and Diversity of the Lower Palaeolithic Record, eds. M.D. Petraglia & R. Korisettar. London: Routledge, 437-450. Clark, J.D., 2001a. The Middle Stone Age: the Lupemban Industrial Complex (Nakisasa and Siszya Industries); aggregates from Rubble 1, sites A-D with Red Rubble Bed and 246",bad_keyword
Kalamho Falls Prehistoric Site,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,261,"arlier Cuhures: Middle and Earlier Stone Age, ed. J.D. Clark. Cambridge: Cambridge University Press. 82-233. Claris, J.D., 2001b. The Bvvalya Industry: Inuga phase (Final Acheulean) and Moola phase (Upper Acheulean), in Kalamho Falls Prehistoric Site III: the Earlier Cuhures: Middle and Earlier Stone Age, ed. J.D. Clark. Cambridge: Cambridge University Press, 286-462. Clark. J.D., Y. Beyene. G. WoldeGabriel, W.K. Hart, P.R. Renne, H. Gilbert, A. Defleur, G. Suwa. S.",bad_keyword
Kalamho Falls Prehistoric Site,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,266,"nist artifact classification. Advances in Archaeological Method and Theory 9, 149-207. Edwards, S.W., 2001. A modern knapper's assessment of the technical skills of the Late Acheulean biface workers at Kalambo Falls, in Kalamho Falls Prehistoric Site III: the Earlier Cultures: Middle and Earlier Stone Age, ed. J.D. Clark. Cambridge: Cambridge University Press, 605-611. Ellis, B., 2001. Scientific Essentialism. Cambridge: Cambridge University Press. Eren, M.I., M. Do",bad_keyword
